split,name,mae,rmse,mape,smape,wape,directional_acc,n,baseline1_mae,baseline1_rmse,mae_improve_vs_baseline1,rmse_improve_vs_baseline1,baseline2_mae,baseline2_rmse,mae_improve_vs_baseline2,rmse_improve_vs_baseline2
test,baseline1_test,5.894119400178382,29.089668287699098,0.2532297752891929,0.12973652746110875,0.1108471673968386,0.9551384012330784,406139,,,,,,,,
test,baseline2_movavg_test,5.132023695247898,25.697985092427576,0.24329526508136595,0.11350430386046839,0.0965148906916391,0.9605405059364058,406139,5.894119400178382,29.089668287699098,0.12929763603150282,0.11659408287944399,,,,
test,ensemble_test,7.093078811442746,37.21934812824681,0.31294712552256176,0.19333092337601027,0.13339527773176224,0.9416700727338984,406139,5.894119400178382,29.089668287699098,-0.20341620687698972,-0.27946966462953576,5.132023695247898,25.697985092427576,-0.3821212123417761,-0.44833721376911495
test,mlp_log_test,10.012819669910781,52.47628773401489,0.40045180418628057,0.3426076190741684,0.1883050923656837,0.9045521472996864,406139,5.894119400178382,29.089668287699098,-0.6987812750464046,-0.8039493340047845,5.132023695247898,25.697985092427576,-0.9510470458626987,-1.0420389982044964
test,mlp_raw_test,10.188335345436544,32.907799290644014,8.234900860549043,0.8029244269620393,0.1916059103751025,0.9104614687618494,406139,5.894119400178382,29.089668287699098,-0.7285593748114774,-0.13125385154561756,5.132023695247898,25.697985092427576,-0.9852471364991243,-0.2805595136071954
test,xgboost_log_test,7.372349542569594,43.488321187882676,0.16850076277579332,0.09993928135800975,0.13864735482428234,0.9658982907287671,406139,5.894119400178382,29.089668287699098,-0.25079745455215496,-0.49497480541131555,5.132023695247898,25.697985092427576,-0.4365384846909753,-0.692285252383362
test,xgboost_raw_test,7.09370858356237,41.20811681962049,0.4980409844445214,0.21859545419666115,0.1334071214781858,0.9631652295525166,406139,5.894119400178382,29.089668287699098,-0.20352305441041518,-0.4165894369117238,5.132023695247898,25.697985092427576,-0.38224392652959394,-0.6035543904087363
val,baseline1_val,5.7343757529325465,26.82128044744605,0.19070769499443013,0.1415699801070345,0.11724152645564626,0.9551946529080675,426401,,,,,,,,
val,baseline2_movavg_val,4.8583992669933656,23.120326384184473,0.16260820860065495,0.1240475998912232,0.09933184896403062,0.96203095684803,426401,5.7343757529325465,26.82128044744605,0.15275882217714956,0.13798573377260165,,,,
val,ensemble_val,5.4775187077958085,28.009166213145186,0.2519678679085629,0.18620137705866596,0.11198998498884971,0.94281191369606,426401,5.7343757529325465,26.82128044744605,0.04479250335232774,-0.044288928264506006,4.8583992669933656,23.120326384184473,-0.12743280384726116,-0.21145202484273481
val,mlp_log_val,6.850439345288619,26.93035591606933,0.2683266287322268,0.24992637828511008,0.14005987754163537,0.9200281425891182,426401,5.7343757529325465,26.82128044744605,-0.19462686793507034,-0.0040667509829370434,4.8583992669933656,23.120326384184473,-0.4100198375684411,-0.16479133852068456
val,mlp_raw_val,8.612978555335271,28.429477840293355,9.127217388838492,0.8734243020556711,0.17609567225183062,0.9111233583489681,426401,5.7343757529325465,26.82128044744605,-0.5019906135259123,-0.059959754568706274,4.8583992669933656,23.120326384184473,-0.7728017155464124,-0.2296313368543371
val,xgboost_log_val,6.183031167008555,36.22489589188066,0.12304672061542589,0.10683572884230293,0.1264144596335883,0.9627274859287055,426401,5.7343757529325465,26.82128044744605,-0.07823962596915057,-0.3506027783744392,4.8583992669933656,23.120326384184473,-0.27264780583480985,-0.5667986381308355
val,xgboost_raw_val,6.049288937544764,34.70391970158002,0.480433473572472,0.2430740427285172,0.12368004811095704,0.963170731707317,426401,5.7343757529325465,26.82128044744605,-0.054916733430168375,-0.29389496409686,4.8583992669933656,23.120326384184473,-0.24511976169640423,-0.5010133994180695
